LMG35	WINRATE	NMATCHES	event	PWINRATE	WML20	FOUNDED	HWINRATE	HHWINRATE	ID	WINRATE6	DEATH_AVG	DEATH_L25	KILL_AVG	TOP500B	LMG35V2	LMAVGV2	COUNTERS3	WINRATE3	WMG35	WMAVG	DPC	HHHWR_SUM	HHHWR_AVG
-0.0185	-18	103	win	75	-0.0127	-12419346	-27	-14	3043547078	-12	3	-11	-1	6	-1	123	-0.0548	4	17	240	0	-41	-20.5
0.0185	18	-103	lose	25	0.0127	12419346	27	14	3043547078	12	-3	11	1	-6	1	-123	0.0548	-4	-17	-240	0	41	20.5
0.0	5	1	win	50	-0.3	-1643488	-10	4	3043545524	5	-2	18	6	8	-33	-627	0.2947	10	-20	-206	0	-6	-3.0
0.0	-5	-1	lose	50	0.3	1643488	10	-4	3043545524	-5	2	-18	-6	-8	33	627	-0.2947	-10	20	206	0	6	3.0
-0.0259	16	-218	win	50	0.0506	24190278	29	2	3043916331	14	-7	26	3	1	8	147	0.1532	0	-33	-346	0	31	15.5
0.0259	-16	218	lose	50	-0.0506	-24190278	-29	-2	3043916331	-14	7	-26	-3	-1	-8	-147	-0.1532	0	33	346	0	-31	-15.5
0.0667	28	-5	win	50	0.1667	412017	23	28	3043955886	28	-5	9	4	-4	21	579	0.2855	28	0	-180	0	51	25.5
-0.0667	-28	5	lose	50	-0.1667	-412017	-23	-28	3043955886	-28	5	-9	-4	4	-21	-579	-0.2855	-28	0	180	0	-51	-25.5
0.022	-18	218	win	33	-0.0367	-24190278	-23	-16	3043987312	-16	8	-27	-3	-1	-8	-152	-0.1771	-4	34	356	0	-39	-19.5
-0.022	18	-218	lose	67	0.0367	24190278	23	16	3043987312	16	-8	27	3	1	8	152	0.1771	4	-34	-356	0	39	19.5
0.0	0	0	win	50	0.0	2694073	-19	5	3044051859	0	-2	11	-1	4	0	-28	0.0491	0	0	188	0	-14	-7.0
0.0	0	0	lose	50	0.0	-2694073	19	-5	3044051859	0	2	-11	1	-4	0	28	-0.0491	0	0	-188	0	14	7.0
-0.0352	-15	5	win	75	-0.0168	7326517	-32	-13	3044056194	-20	2	-8	-2	0	-3	-223	-0.2173	-13	20	241	0	-45	-22.5
0.0352	15	-5	lose	25	0.0168	-7326517	32	13	3044056194	20	-2	8	2	0	3	223	0.2173	13	-20	-241	0	45	22.5
-0.022	14	-218	win	50	0.0373	24190278	30	7	3044098153	12	-6	21	3	1	18	170	0.4131	-1	-35	-359	0	37	18.5
