WINRATE	NMATCHES	event	PWINRATE	WM_L20	FOUNDED	HWINRATE	HHWINRATE	ID	WINRATE6	DEATH_AVG	DEATH_L25	KILL_AVG	TOP500	LM_G35	LM_AVG	COUNTERS	WINRATE3	WM_G35	WM_AVG	DPC	HWR_AVG
0	0	win	50	0	76280719	0	0	2332626658	0	0	0	0	-7	0	0	-0.1851	0	0	0	0	0.0
0	0	lose	50	0	-76280719	0	0	2332626658	0	0	0	0	7	0	0	0.1851	0	0	0	0	0.0
-34	0	win	33	0	-76280719	-42	-42	2332796666	-34	6	-50	-6	7	50	474	0.5607	-34	-50	-474	0	-42.0
34	0	lose	67	0	76280719	42	42	2332796666	34	-6	50	6	-7	-50	-474	-0.5607	34	50	474	0	42.0
0	0	win	50	0	76280719	42	42	2332978193	0	-4	33	4	-7	0	177	-0.0372	0	0	-177	0	42.0
0	0	lose	50	0	-76280719	-42	-42	2332978193	0	4	-33	-4	7	0	-177	0.0372	0	0	177	0	-42.0
0	0	win	50	-100	13402314	8	17	2334793300	0	0	0	-2	3	0	0	0.1801	0	0	108	0	12.5
0	0	lose	50	100	-13402314	-8	-17	2334793300	0	0	0	2	-3	0	0	-0.1801	0	0	-108	0	-12.5
-30	-3	win	50	0	-34238683	-39	-25	2335041898	-30	8	-50	-6	-1	0	0	0.4005	-30	-25	226	0	-32.0
30	3	lose	50	0	34238683	39	25	2335041898	30	-8	50	6	1	0	0	-0.4005	30	25	-226	0	32.0
0	0	win	50	-50	66505643	3	3	2335211353	0	0	0	4	1	0	0	0.2194	0	-14	111	0	3.0
0	0	lose	50	50	-66505643	-3	-3	2335211353	0	0	0	-4	-1	0	0	-0.2194	0	14	-111	0	-3.0
-5	-1	win	50	0	42261262	0	-8	2335218272	-5	3	-8	-2	9	0	0	0.1072	-5	-17	266	0	-4.0
5	1	lose	50	0	-42261262	0	8	2335218272	5	-3	8	2	-9	0	0	-0.1072	5	17	-266	0	4.0
-3	-1	win	50	-50	8462227	0	13	2335413579	-3	4	-5	5	0	0	0	-0.0084	-3	30	486	0	6.5
3	1	lose	50	50	-8462227	0	-13	2335413579	3	-4	5	-5	0	0	0	0.0084	3	-30	-486	0	-6.5
11	0	win	67	-50	66505643	20	56	2335351191	11	-2	12	6	1	0	100	0.2452	11	-16	123	0	38.0
-11	0	lose	33	50	-66505643	-20	-56	2335351191	-11	2	-12	-6	-1	0	-100	-0.2452	-11	16	-123	0	-38.0
-12	1	win	33	50	-8462227	-16	0	2335513179	-12	-1	3	-7	0	0	-291	0.4262	-12	-20	-282	0	-8.0
12	-1	lose	67	-50	8462227	16	0	2335513179	12	1	-3	7	0	0	291	-0.4262	12	20	282	0	8.0
-7	-4	win	50	25	-1069469	2	-11	2335535244	-7	-2	2	3	-3	0	0	0.65	-7	-22	-330	0	-4.5
